country,country_code,sub_region,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,work_count_total
Sri Lanka,LKA,Southern Asia,2.0,2.0,0.0,2.0,5.0,4.0,3.0,1.0,1.0,0.0,20.0
Panama,PAN,Latin America and the Caribbean,1.0,1.0,1.0,2.0,6.0,2.0,0.0,4.0,0.0,1.0,18.0
Costa Rica,CRI,Latin America and the Caribbean,3.0,3.0,2.0,0.0,0.0,3.0,0.0,6.0,0.0,1.0,18.0
Cyprus,CYP,Western Asia,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,6.0,5.0,18.0
Jordan,JOR,Western Asia,1.0,0.0,1.0,2.0,5.0,1.0,2.0,4.0,2.0,0.0,18.0
Estonia,EST,Northern Europe,1.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,4.0,17.0
Cameroon,CMR,Sub-Saharan Africa,0.0,1.0,1.0,2.0,4.0,0.0,3.0,1.0,1.0,3.0,16.0
Macao,MAC,Eastern Asia,0.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,2.0,16.0
North Macedonia,MKD,Southern Europe,0.0,3.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,15.0
Sierra Leone,SLE,Sub-Saharan Africa,3.0,5.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,15.0
Guyana,GUY,Latin America and the Caribbean,2.0,0.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,15.0
Mongolia,MNG,Eastern Asia,0.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,14.0
Latvia,LVA,Northern Europe,1.0,2.0,0.0,0.0,1.0,1.0,5.0,2.0,0.0,2.0,14.0
Luxembourg,LUX,Western Europe,1.0,0.0,3.0,1.0,4.0,1.0,0.0,1.0,1.0,2.0,14.0
Kazakhstan,KAZ,Central Asia,0.0,1.0,0.0,0.0,2.0,1.0,2.0,4.0,1.0,3.0,14.0
Kuwait,KWT,Western Asia,0.0,0.0,0.0,0.0,4.0,3.0,4.0,3.0,0.0,0.0,14.0
Zambia,ZMB,Sub-Saharan Africa,3.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,13.0
Malawi,MWI,Sub-Saharan Africa,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,10.0
French Guiana,GUF,Latin America and the Caribbean,0.0,0.0,2.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,10.0
Iraq,IRQ,Western Asia,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,3.0,10.0
Jamaica,JAM,Latin America and the Caribbean,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,10.0
Zimbabwe,ZWE,Sub-Saharan Africa,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,9.0
Palestine,PSE,Western Asia,3.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,9.0
DR Congo,COD,Sub-Saharan Africa,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0,9.0
Lithuania,LTU,Northern Europe,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,8.0
Guadeloupe,GLP,Latin America and the Caribbean,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,8.0
Burkina Faso,BFA,Sub-Saharan Africa,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,8.0
Uruguay,URY,Latin America and the Caribbean,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,8.0
Georgia,GEO,Western Asia,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,7.0
Albania,ALB,Southern Europe,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,7.0
Senegal,SEN,Sub-Saharan Africa,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0
Sudan,SDN,Northern Africa,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,7.0
Gabon,GAB,Sub-Saharan Africa,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,7.0
Ivory Coast,CIV,Sub-Saharan Africa,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,7.0
Tunisia,TUN,Northern Africa,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,6.0
Namibia,NAM,Sub-Saharan Africa,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,6.0
U.S. Virgin Islands,VIR,Latin America and the Caribbean,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,6.0
Trinidad and Tobago,TTO,Latin America and the Caribbean,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0
Guatemala,GTM,Latin America and the Caribbean,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,6.0
Madagascar,MDG,Sub-Saharan Africa,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,6.0
Syria,SYR,Western Asia,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,5.0
The Gambia,GMB,Sub-Saharan Africa,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0
Uzbekistan,UZB,Central Asia,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0
Algeria,DZA,Northern Africa,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0
Belarus,BLR,Eastern Europe,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,5.0
Niger,NER,Sub-Saharan Africa,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0
Samoa,WSM,Polynesia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0
Mozambique,MOZ,Sub-Saharan Africa,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
Cuba,CUB,Latin America and the Caribbean,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0
Brunei,BRN,South-eastern Asia,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0
Afghanistan,AFG,Southern Asia,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0
Oman,OMN,Western Asia,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0
Suriname,SUR,Latin America and the Caribbean,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0
Papua New Guinea,PNG,Melanesia,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0
Vatican City,VAT,Southern Europe,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
Malta,MLT,Southern Europe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
Kyrgyzstan,KGZ,Central Asia,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0
Grenada,GRD,Latin America and the Caribbean,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0
Monaco,MCO,Western Europe,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0
Curaçao,CUW,Latin America and the Caribbean,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0
Cambodia,KHM,South-eastern Asia,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0
Botswana,BWA,Sub-Saharan Africa,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
Azerbaijan,AZE,Western Asia,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Barbados,BRB,Latin America and the Caribbean,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Tajikistan,TJK,Central Asia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
St Kitts and Nevis,KNA,Latin America and the Caribbean,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
Yemen,YEM,Western Asia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
Rwanda,RWA,Sub-Saharan Africa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
Paraguay,PRY,Latin America and the Caribbean,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
New Caledonia,NCL,Melanesia,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
Guinea-Bissau,GNB,Sub-Saharan Africa,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
Myanmar,MMR,South-eastern Asia,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Liberia,LBR,Sub-Saharan Africa,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Armenia,ARM,Western Asia,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
Belize,BLZ,Latin America and the Caribbean,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
Equatorial Guinea,GNQ,Sub-Saharan Africa,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
Antigua and Barbuda,ATG,Latin America and the Caribbean,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Benin,BEN,Sub-Saharan Africa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Bonaire, Sint Eustatius, and Saba",BES,Latin America and the Caribbean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Bahamas,BHS,Latin America and the Caribbean,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Dominican Republic,DOM,Latin America and the Caribbean,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Congo Republic,COG,Sub-Saharan Africa,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Cayman Islands,CYM,Latin America and the Caribbean,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Burundi,BDI,Sub-Saharan Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Bermuda,BMU,Northern America,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Eswatini,SWZ,Sub-Saharan Africa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Faroe Islands,FRO,Northern Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
El Salvador,SLV,Latin America and the Caribbean,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nicaragua,NIC,Latin America and the Caribbean,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mali,MLI,Sub-Saharan Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Libya,LBY,Northern Africa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Greenland,GRL,Northern America,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Seychelles,SYC,Sub-Saharan Africa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Réunion,REU,Sub-Saharan Africa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Palau,PLW,Micronesia,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Turks and Caicos Islands,TCA,Latin America and the Caribbean,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
